	end	fragment lengths	included transcripts	inclusion normalized reads	normed reads	position	reads	sample
24	5p	20,21,22,23	3168.5	0.5241315371172703	1660.710775356071	-76	91.0	oligo_depletion
25	5p	20,21,22,23	3184.5	0.4504483515652758	1434.4527755596207	-75	117.0	oligo_depletion
26	5p	20,21,22,23	3197.5	0.5303356957400625	1695.7483871288498	-74	122.0	oligo_depletion
27	5p	20,21,22,23	3207.5	0.7372265426551792	2364.654135566487	-73	138.0	oligo_depletion
28	5p	20,21,22,23	3220.0	0.47644634208489056	1534.1572215133476	-72	101.0	oligo_depletion
29	5p	20,21,22,23	3230.0	0.5736124620079399	1852.768252285646	-71	115.0	oligo_depletion
30	5p	20,21,22,23	3242.5	0.46911398509351326	1521.1020966657168	-70	112.0	oligo_depletion
31	5p	20,21,22,23	3258.0	0.5337687728260498	1739.0186618672706	-69	97.0	oligo_depletion
32	5p	20,21,22,23	3275.0	0.6080170530091294	1991.2558486048988	-68	141.0	oligo_depletion
33	5p	20,21,22,23	3289.5	0.5234039245007615	1721.7372096452548	-67	122.0	oligo_depletion
34	5p	20,21,22,23	3301.0	0.6727296117663981	2220.6804484408804	-66	129.0	oligo_depletion
35	5p	20,21,22,23	3318.5	0.6174027685398654	2048.8510873995433	-65	122.0	oligo_depletion
36	5p	20,21,22,23	3338.0	0.4661119365852166	1555.881644321453	-64	120.0	oligo_depletion
37	5p	20,21,22,23	3353.5	0.39458977977425036	1323.2568264729487	-63	184.0	oligo_depletion
38	5p	20,21,22,23	3369.5	0.5928818263727311	1997.7153139629174	-62	185.0	oligo_depletion
39	5p	20,21,22,23	3385.5	0.6191361764923722	2096.085525514926	-61	138.0	oligo_depletion
40	5p	20,21,22,23	3403.5	0.5259602105753612	1790.1055766932418	-60	127.0	oligo_depletion
41	5p	20,21,22,23	3420.5	0.5394664575519048	1845.2450180562903	-59	150.0	oligo_depletion
42	5p	20,21,22,23	3432.0	0.7136424091811299	2449.2207483096377	-58	160.0	oligo_depletion
43	5p	20,21,22,23	3442.0	0.6700360071478118	2306.263936602768	-57	135.0	oligo_depletion
44	5p	20,21,22,23	3454.0	0.5820778749375867	2010.4969800344243	-56	133.0	oligo_depletion
45	5p	20,21,22,23	3470.0	0.6640987335900171	2304.4226055573595	-55	183.0	oligo_depletion
46	5p	20,21,22,23	3488.5	0.8027836822495876	2800.5108755276865	-54	161.0	oligo_depletion
47	5p	20,21,22,23	3504.0	0.7835750309833833	2745.646908565775	-53	147.0	oligo_depletion
48	5p	20,21,22,23	3514.5	0.6471767781279799	2274.5027867307854	-52	138.0	oligo_depletion
49	5p	20,21,22,23	3527.5	0.721763181943427	2546.019624305439	-51	159.0	oligo_depletion
50	5p	20,21,22,23	3542.5	0.6524303156415541	2311.2343931602054	-50	158.0	oligo_depletion
51	5p	20,21,22,23	3559.0	0.6733172087953252	2396.3359461025625	-49	204.0	oligo_depletion
52	5p	20,21,22,23	3574.5	0.604852069890291	2162.0437238228455	-48	145.0	oligo_depletion
53	5p	20,21,22,23	3586.0	0.709776037687136	2545.25687114607	-47	174.0	oligo_depletion
54	5p	20,21,22,23	3599.0	0.7858917884316805	2828.424546565618	-46	197.0	oligo_depletion
55	5p	20,21,22,23	3613.5	0.6306127281077897	2278.719093017498	-45	138.0	oligo_depletion
56	5p	20,21,22,23	3628.0	0.7996810928639554	2901.24300491043	-44	180.0	oligo_depletion
57	5p	20,21,22,23	3642.0	0.931704942593919	3393.269400927053	-43	156.0	oligo_depletion
58	5p	20,21,22,23	3656.0	0.5984135904232201	2187.8000865872928	-42	146.0	oligo_depletion
59	5p	20,21,22,23	3671.0	0.5070947866123439	1861.5449616539142	-41	168.0	oligo_depletion
60	5p	20,21,22,23	3683.5	0.6634375367603552	2443.7721666567686	-40	150.0	oligo_depletion
61	5p	20,21,22,23	3693.0	0.8274126104318514	3055.6347703248275	-39	179.0	oligo_depletion
62	5p	20,21,22,23	3707.5	0.6133293689236936	2273.918635284594	-38	132.0	oligo_depletion
63	5p	20,21,22,23	3722.0	0.5541916736036421	2062.701409152756	-37	160.0	oligo_depletion
64	5p	20,21,22,23	3733.5	0.5579195055008827	2082.9924737875454	-36	154.0	oligo_depletion
65	5p	20,21,22,23	3746.0	0.5834712767091256	2185.6834025523845	-35	165.0	oligo_depletion
66	5p	20,21,22,23	3755.5	0.7988410841561036	3000.047691548247	-34	205.0	oligo_depletion
67	5p	20,21,22,23	3765.0	0.6739649072148067	2537.4778756637475	-33	203.0	oligo_depletion
68	5p	20,21,22,23	3776.5	0.5729625545410074	2163.7930872241145	-32	292.0	oligo_depletion
69	5p	20,21,22,23	3789.5	0.8959691636093118	3395.275145497487	-31	179.0	oligo_depletion
70	5p	20,21,22,23	3802.5	0.6522674072687117	2480.2468161392762	-30	154.0	oligo_depletion
71	5p	20,21,22,23	3812.5	0.6459143823007935	2462.548582521775	-29	192.0	oligo_depletion
72	5p	20,21,22,23	3826.0	0.7028248751119829	2689.0079721784464	-28	246.0	oligo_depletion
73	5p	20,21,22,23	3840.5	0.7531716386315074	2892.555678164304	-27	221.0	oligo_depletion
74	5p	20,21,22,23	3852.5	0.6083359608074963	2343.6142890108795	-26	163.0	oligo_depletion
75	5p	20,21,22,23	3866.0	0.60291494787468	2330.869188483513	-25	208.0	oligo_depletion
76	5p	20,21,22,23	3880.5	0.698967528781066	2712.343495434927	-24	217.0	oligo_depletion
77	5p	20,21,22,23	3892.5	0.6013162528831861	2340.623514347802	-23	223.0	oligo_depletion
78	5p	20,21,22,23	3902.5	0.5439956686529788	2122.9430969182495	-22	180.0	oligo_depletion
79	5p	20,21,22,23	3912.0	0.5842653972900445	2285.646234198654	-21	170.0	oligo_depletion
80	5p	20,21,22,23	3922.0	0.5890852635721949	2310.3924037301485	-20	210.0	oligo_depletion
81	5p	20,21,22,23	3937.0	0.5534596093078938	2178.9704818451783	-19	225.0	oligo_depletion
82	5p	20,21,22,23	3954.5	0.3728992406450834	1474.6300471309823	-18	222.0	oligo_depletion
83	5p	20,21,22,23	3967.0	0.6691662020522033	2654.582323541091	-17	336.0	oligo_depletion
84	5p	20,21,22,23	3978.5	0.531455992972818	2114.397668042356	-16	559.0	oligo_depletion
85	5p	20,21,22,23	3991.0	0.5102114254166571	2036.2537988378783	-15	348.0	oligo_depletion
86	5p	20,21,22,23	4003.0	0.6483979468047029	2595.5369810592256	-14	243.0	oligo_depletion
87	5p	20,21,22,23	4015.0	0.47780122558661886	1918.3719207302747	-13	207.0	oligo_depletion
88	5p	20,21,22,23	4027.0	0.4059398439916762	1634.71975175448	-12	145.0	oligo_depletion
89	5p	20,21,22,23	4038.5	0.5286443206533172	2134.9300889584215	-11	179.0	oligo_depletion
90	5p	20,21,22,23	4049.0	0.3631266381314942	1470.29975779442	-10	130.0	oligo_depletion
91	5p	20,21,22,23	4059.0	0.41160980329607627	1670.7241915787736	-9	159.0	oligo_depletion
92	5p	20,21,22,23	4067.5	0.37909051086644946	1541.9506529492833	-8	206.0	oligo_depletion
93	5p	20,21,22,23	4076.0	0.21340868384864317	869.8537953670696	-7	89.0	oligo_depletion
94	5p	20,21,22,23	4082.5	0.4974997716876855	2031.042817914976	-6	108.0	oligo_depletion
95	5p	20,21,22,23	4089.0	0.39449294656890377	1613.0816585202474	-5	113.0	oligo_depletion
96	5p	20,21,22,23	4098.5	0.2678814336265978	1097.9120557186109	-4	83.0	oligo_depletion
97	5p	20,21,22,23	4107.5	0.36321352943870705	1491.8995721694891	-3	117.0	oligo_depletion
98	5p	20,21,22,23	4114.5	0.6167432979364403	2537.5902993594837	-2	225.0	oligo_depletion
99	5p	20,21,22,23	4124.0	1.4947422981430167	6164.317237541801	-1	551.0	oligo_depletion
100	5p	20,21,22,23	4134.5	10.645424291973926	44013.5067351662	0	4731.0	oligo_depletion
101	5p	20,21,22,23	4141.5	2.9217964597622625	12100.62003810541	1	1254.0	oligo_depletion
102	5p	20,21,22,23	4146.0	0.7465444833762425	3095.1734280779015	2	274.0	oligo_depletion
103	5p	20,21,22,23	4151.0	2.5953821432705566	10773.43127671608	3	1025.0	oligo_depletion
104	5p	20,21,22,23	4154.5	0.7016927339689163	2915.1824632738626	4	296.0	oligo_depletion
105	5p	20,21,22,23	4157.5	0.7603705597423221	3161.2406021287043	5	222.0	oligo_depletion
106	5p	20,21,22,23	4162.5	3.1614246027537187	13159.429908962355	6	1400.0	oligo_depletion
107	5p	20,21,22,23	4167.0	1.3615768508408634	5673.690737453878	7	547.0	oligo_depletion
108	5p	20,21,22,23	4169.5	2.4798430951353434	10339.705785166814	8	629.0	oligo_depletion
109	5p	20,21,22,23	4171.5	3.9059954284030165	16293.859929583183	9	1309.0	oligo_depletion
110	5p	20,21,22,23	4174.0	1.7870798626151778	7459.271346555753	10	496.0	oligo_depletion
111	5p	20,21,22,23	4177.0	0.7760918194788994	3241.7355299633628	11	263.0	oligo_depletion
112	5p	20,21,22,23	4224.5	2.971207549403764	12551.866292456201	12	1263.0	oligo_depletion
113	5p	20,21,22,23	4270.0	1.359335535821356	5804.36273795719	13	1311.0	oligo_depletion
114	5p	20,21,22,23	4270.0	0.6686396551477712	2855.091327480983	14	378.0	oligo_depletion
115	5p	20,21,22,23	4270.0	1.917563123532191	8187.994537482456	15	908.0	oligo_depletion
116	5p	20,21,22,23	4270.0	0.5336784923915138	2278.8071625117636	16	265.0	oligo_depletion
117	5p	20,21,22,23	4270.0	0.6205027786189795	2649.5468647030425	17	212.0	oligo_depletion
118	5p	20,21,22,23	4270.0	1.7318996329018124	7395.211432490739	18	744.0	oligo_depletion
119	5p	20,21,22,23	4270.0	0.4135973360575573	1766.0606249657696	19	186.0	oligo_depletion
120	5p	20,21,22,23	4270.0	0.420597013267877	1795.949246653835	20	131.0	oligo_depletion
121	5p	20,21,22,23	4270.0	1.8941646078759635	8088.0828756303645	21	694.0	oligo_depletion
122	5p	20,21,22,23	4270.0	0.6003479165941891	2563.4856038571875	22	219.0	oligo_depletion
123	5p	20,21,22,23	4270.0	0.45765034799204246	1954.1669859260214	23	173.0	oligo_depletion
124	5p	20,21,22,23	4270.0	1.4547079584149787	6211.602982431959	24	646.0	oligo_depletion
125	5p	20,21,22,23	4270.0	0.5812307482359149	2481.8552949673567	25	187.0	oligo_depletion
126	5p	20,21,22,23	4270.0	0.5139648763025151	2194.6300218117394	26	150.0	oligo_depletion
127	5p	20,21,22,23	4270.0	1.7750997674969833	7579.676007212119	27	758.0	oligo_depletion
128	5p	20,21,22,23	4270.0	0.4753245903020184	2029.6360005896186	28	203.0	oligo_depletion
129	5p	20,21,22,23	4270.0	0.3589102080584125	1532.5465884094215	29	159.0	oligo_depletion
130	5p	20,21,22,23	4270.0	1.863784019232165	7958.357762121344	30	647.0	oligo_depletion
131	5p	20,21,22,23	4270.0	0.4333915916147481	1850.5820961949744	31	184.0	oligo_depletion
132	5p	20,21,22,23	4270.0	0.4921962327817795	2101.6779139781984	32	157.0	oligo_depletion
133	5p	20,21,22,23	4270.0	1.8278329299222555	7804.8466107680315	33	638.0	oligo_depletion
134	5p	20,21,22,23	4270.0	0.5954744707038722	2542.675989905534	34	187.0	oligo_depletion
135	5p	20,21,22,23	4270.0	0.5292571466546494	2259.9280162153527	35	187.0	oligo_depletion
136	5p	20,21,22,23	4270.0	1.6062186002101349	6858.553422897276	36	789.0	oligo_depletion
137	5p	20,21,22,23	4270.0	0.36769717254270223	1570.0669267573385	37	188.0	oligo_depletion
138	5p	20,21,22,23	4270.0	0.599321651560472	2559.1034521632155	38	167.0	oligo_depletion
139	5p	20,21,22,23	4270.0	1.6439008855109614	7019.456781131805	39	809.0	oligo_depletion
140	5p	20,21,22,23	4270.0	0.5135364063152096	2192.800454965945	40	203.0	oligo_depletion
141	5p	20,21,22,23	4270.0	0.4554440221077573	1944.7459744001237	41	181.0	oligo_depletion
142	5p	20,21,22,23	4270.0	1.863575462280492	7957.467223937701	42	734.0	oligo_depletion
143	5p	20,21,22,23	4270.0	0.7085859416330601	3025.6619707731666	43	206.0	oligo_depletion
144	5p	20,21,22,23	4270.0	0.48633972834251243	2076.670640022528	44	170.0	oligo_depletion
145	5p	20,21,22,23	4270.0	2.0856143114151435	8905.573109742663	45	765.0	oligo_depletion
146	5p	20,21,22,23	4270.0	0.820111536417441	3501.8762605024726	46	214.0	oligo_depletion
147	5p	20,21,22,23	4270.0	0.4898199239067412	2091.531075081785	47	166.0	oligo_depletion
148	5p	20,21,22,23	4270.0	1.9326046591571764	8252.221894601144	48	771.0	oligo_depletion
149	5p	20,21,22,23	4270.0	0.5484352152703321	2341.818369204318	49	208.0	oligo_depletion
150	5p	20,21,22,23	4270.0	0.5969475979492029	2548.9662432430964	50	188.0	oligo_depletion
151	5p	20,21,22,23	4270.0	1.817482204988599	7760.649015301318	51	851.0	oligo_depletion
152	5p	20,21,22,23	4270.0	0.6088637396447879	2599.8481682832444	52	203.0	oligo_depletion
153	5p	20,21,22,23	4270.0	0.43668330415741025	1864.6377087521416	53	164.0	oligo_depletion
154	5p	20,21,22,23	4270.0	2.1184681287033693	9045.858909563387	54	783.0	oligo_depletion
155	5p	20,21,22,23	4270.0	0.611155445909036	2609.633754031584	55	220.0	oligo_depletion
156	5p	20,21,22,23	4270.0	0.47576994917098414	2031.5376829601023	56	205.0	oligo_depletion
157	5p	20,21,22,23	4270.0	1.9051760524001338	8135.101743748572	57	745.0	oligo_depletion
158	5p	20,21,22,23	4270.0	0.5405824038044119	2308.286864244839	58	185.0	oligo_depletion
159	5p	20,21,22,23	4270.0	0.6441505443662539	2750.522824443904	59	181.0	oligo_depletion
160	5p	20,21,22,23	4270.0	2.124355853504407	9070.999494463818	60	677.0	oligo_depletion
161	5p	20,21,22,23	4270.0	0.6296798954994633	2688.7331537827085	61	186.0	oligo_depletion
162	5p	20,21,22,23	4270.0	0.6983620201007273	2982.0058258301056	62	233.0	oligo_depletion
163	5p	20,21,22,23	4270.0	1.805556122796075	7709.7246443392405	63	839.0	oligo_depletion
164	5p	20,21,22,23	4270.0	0.5761800137057475	2460.2886585235415	64	205.0	oligo_depletion
165	5p	20,21,22,23	4270.0	0.6089991430981962	2600.426341029298	65	225.0	oligo_depletion
166	5p	20,21,22,23	4270.0	1.9316980542404223	8248.350691606604	66	891.0	oligo_depletion
167	5p	20,21,22,23	4270.0	0.48189329450680957	2057.684367544077	67	230.0	oligo_depletion
168	5p	20,21,22,23	4270.0	0.3219775943244077	1374.844327765221	68	190.0	oligo_depletion
169	5p	20,21,22,23	4270.0	1.9465708035686697	8311.85733123822	69	790.0	oligo_depletion
170	5p	20,21,22,23	4270.0	0.6093079031784909	2601.744746572156	70	197.0	oligo_depletion
171	5p	20,21,22,23	4270.0	0.5004485990819805	2136.9155180800567	71	203.0	oligo_depletion
172	5p	20,21,22,23	4270.0	1.7294863566492082	7384.906742892119	72	778.0	oligo_depletion
173	5p	20,21,22,23	4270.0	0.6531445403890754	2788.9271874613523	73	192.0	oligo_depletion
174	5p	20,21,22,23	4270.0	0.3960748841769367	1691.2397554355198	74	191.0	oligo_depletion
175	5p	20,21,22,23	4270.0	1.6667126689297695	7116.863096330116	75	691.0	oligo_depletion
176	5p	20,21,22,23	4270.0	0.4533332288822858	1935.7328873273602	76	192.0	oligo_depletion
177	5p	20,21,22,23	4270.0	0.5160452241471146	2203.5131071081796	77	292.0	oligo_depletion
178	5p	20,21,22,23	4270.0	1.867888772436499	7975.88505830385	78	1186.0	oligo_depletion
179	5p	20,21,22,23	4270.0	0.46878847005286994	2001.7267671257546	79	195.0	oligo_depletion
180	5p	20,21,22,23	4270.0	0.6411603299760805	2737.7546089978637	80	231.0	oligo_depletion
181	5p	20,21,22,23	4270.0	1.8629524380679394	7954.806910550102	81	892.0	oligo_depletion
182	5p	20,21,22,23	4270.0	0.7635470942478509	3260.3460924383235	82	253.0	oligo_depletion
183	5p	20,21,22,23	4270.0	0.3809481552191049	1626.648622785578	83	206.0	oligo_depletion
184	5p	20,21,22,23	4270.0	1.8424465692210017	7867.246850573677	84	863.0	oligo_depletion
185	5p	20,21,22,23	4270.0	0.42089002409607207	1797.2004028902277	85	197.0	oligo_depletion
186	5p	20,21,22,23	4270.0	0.4366198231183684	1864.366644715433	86	229.0	oligo_depletion
187	5p	20,21,22,23	4270.0	2.056944487888727	8783.152963284863	87	750.0	oligo_depletion
188	5p	20,21,22,23	4270.0	0.6304257579700379	2691.9179865320616	88	210.0	oligo_depletion
189	5p	20,21,22,23	4270.0	0.4743334944019817	2025.4040210964617	89	217.0	oligo_depletion
190	5p	20,21,22,23	4270.0	1.9813293438537607	8460.276298255558	90	866.0	oligo_depletion
191	5p	20,21,22,23	4270.0	0.5093054715355652	2174.7343634568633	91	192.0	oligo_depletion
192	5p	20,21,22,23	4270.0	0.63875900033777	2727.5009314422778	92	186.0	oligo_depletion
193	5p	20,21,22,23	4270.0	2.2933382837062832	9792.55447142583	93	775.0	oligo_depletion
194	5p	20,21,22,23	4270.0	0.5963833160022868	2546.5567593297646	94	187.0	oligo_depletion
195	5p	20,21,22,23	4270.0	0.580545765602725	2478.9304191236356	95	258.0	oligo_depletion
196	5p	20,21,22,23	4270.0	1.7405576215651046	7432.181044082997	96	702.0	oligo_depletion
197	5p	20,21,22,23	4270.0	0.3200006568813813	1366.4028048834982	97	168.0	oligo_depletion
198	5p	20,21,22,23	4270.0	0.4903359755009529	2093.734615389069	98	208.0	oligo_depletion
199	5p	20,21,22,23	4270.0	2.0725594700719427	8849.828937207196	99	740.0	oligo_depletion
200	5p	20,21,22,23	4270.0	0.5400855086388783	2306.16512188801	100	207.0	oligo_depletion
201	5p	20,21,22,23	4270.0	0.44715829017722225	1909.365899056739	101	173.0	oligo_depletion
202	5p	20,21,22,23	4270.0	1.987085311182731	8484.854278750261	102	880.0	oligo_depletion
203	5p	20,21,22,23	4270.0	0.5174506034891232	2209.514076898556	103	196.0	oligo_depletion
204	5p	20,21,22,23	4270.0	0.5768418750460934	2463.114806446819	104	208.0	oligo_depletion
205	5p	20,21,22,23	4270.0	2.1234637827506098	9067.190352345104	105	798.0	oligo_depletion
206	5p	20,21,22,23	4270.0	0.5826505628961924	2487.9179035667416	106	222.0	oligo_depletion
207	5p	20,21,22,23	4270.0	0.5290750990674743	2259.1506730181154	107	198.0	oligo_depletion
208	5p	20,21,22,23	4270.0	2.04233345138494	8720.763837413693	108	816.0	oligo_depletion
209	5p	20,21,22,23	4270.0	0.45022625969840907	1922.4661289122068	109	206.0	oligo_depletion
210	5p	20,21,22,23	4270.0	0.5082457340162715	2170.2092842494794	110	202.0	oligo_depletion
211	5p	20,21,22,23	4270.0	2.153474939929352	9195.337993498331	111	734.0	oligo_depletion
212	5p	20,21,22,23	4270.0	0.43839508345097367	1871.9470063356575	112	170.0	oligo_depletion
213	5p	20,21,22,23	4270.0	0.44092655282602367	1882.7563805671211	113	200.0	oligo_depletion
214	5p	20,21,22,23	4270.0	1.858727243936155	7936.765331607382	114	756.0	oligo_depletion
215	5p	20,21,22,23	4270.0	0.5624528545820204	2401.6736890652273	115	207.0	oligo_depletion
216	5p	20,21,22,23	4270.0	0.5437931647096302	2321.996813310121	116	250.0	oligo_depletion
217	5p	20,21,22,23	4270.0	1.9685523884910217	8405.718698856663	117	950.0	oligo_depletion
218	5p	20,21,22,23	4270.0	0.523591196838033	2235.734410498401	118	256.0	oligo_depletion
219	5p	20,21,22,23	4270.0	0.600580107157334	2564.4770575618163	119	224.0	oligo_depletion
220	5p	20,21,22,23	4270.0	2.105837152409581	8991.924640788911	120	900.0	oligo_depletion
221	5p	20,21,22,23	4270.0	0.7051476304633976	3010.9803820787074	121	222.0	oligo_depletion
222	5p	20,21,22,23	4270.0	0.31129163860270387	1329.2152968335456	122	192.0	oligo_depletion
223	5p	20,21,22,23	4270.0	1.92041458675024	8200.170285423525	123	854.0	oligo_depletion
224	5p	20,21,22,23	4270.0	0.5702913972266683	2435.144266157874	124	219.0	oligo_depletion
225	5p	20,21,22,23	4270.0	0.462160504933737	1973.425356067057	125	209.0	oligo_depletion
226	5p	20,21,22,23	4270.0	1.8853322104370087	8050.368538566027	126	879.0	oligo_depletion
227	5p	20,21,22,23	4270.0	0.5397689574782798	2304.8134484322545	127	241.0	oligo_depletion
228	5p	20,21,22,23	4270.0	0.49986856328257595	2134.438765216599	128	217.0	oligo_depletion
229	5p	20,21,22,23	4270.0	1.949732765287085	8325.358907775853	129	876.0	oligo_depletion
230	5p	20,21,22,23	4270.0	0.624893724783104	2668.296204823854	130	223.0	oligo_depletion
231	5p	20,21,22,23	4270.0	0.5054464970773314	2158.2565425202047	131	243.0	oligo_depletion
232	5p	20,21,22,23	4270.0	1.804031307267793	7703.213682033475	132	1033.0	oligo_depletion
233	5p	20,21,22,23	4270.0	0.5796319928614385	2475.0286095183424	133	236.0	oligo_depletion
234	5p	20,21,22,23	4270.0	0.5510735391890659	2353.0840123373114	134	203.0	oligo_depletion
235	5p	20,21,22,23	4270.0	1.7217500461154551	7351.872696912993	135	694.0	oligo_depletion
236	5p	20,21,22,23	4270.0	0.5898174443924387	2518.520487555713	136	203.0	oligo_depletion
237	5p	20,21,22,23	4270.0	0.47618852222913344	2033.3249899183998	137	224.0	oligo_depletion
238	5p	20,21,22,23	4270.0	1.9840023607092856	8471.69008022865	138	937.0	oligo_depletion
239	5p	20,21,22,23	4270.0	0.6414412052412771	2738.9539463802535	139	239.0	oligo_depletion
240	5p	20,21,22,23	4270.0	0.6312990830189216	2695.647084490795	140	198.0	oligo_depletion
241	5p	20,21,22,23	4270.0	1.8911594251328123	8075.250745317108	141	913.0	oligo_depletion
242	5p	20,21,22,23	4270.0	0.6512633452169002	2780.8944840761637	142	230.0	oligo_depletion
243	5p	20,21,22,23	4270.0	0.5548608582770092	2369.255864842829	143	216.0	oligo_depletion
244	5p	20,21,22,23	4270.0	1.8687951936403493	7979.7554768442915	144	876.0	oligo_depletion
245	5p	20,21,22,23	4270.0	0.590557105099884	2521.6788387765046	145	191.0	oligo_depletion
246	5p	20,21,22,23	4270.0	0.5456121100026429	2329.763709711285	146	202.0	oligo_depletion
247	5p	20,21,22,23	4270.0	2.0813396466320344	8887.320291118787	147	847.0	oligo_depletion
248	5p	20,21,22,23	4270.0	0.5320907984060799	2272.027709193961	148	214.0	oligo_depletion
249	5p	20,21,22,23	4270.0	0.47625265357743385	2033.5988307756425	149	207.0	oligo_depletion
250	5p	20,21,22,23	4270.0	1.98505334798294	8476.177795887153	150	869.0	oligo_depletion
251	5p	20,21,22,23	4270.0	0.7057028462346128	3013.3511534217964	151	244.0	oligo_depletion
252	5p	20,21,22,23	4270.0	0.4812021737086745	2054.73328173604	152	200.0	oligo_depletion
253	5p	20,21,22,23	4270.0	1.9151178222893253	8177.553101175419	153	753.0	oligo_depletion
254	5p	20,21,22,23	4270.0	0.6547284234421934	2795.690368098166	154	202.0	oligo_depletion
255	5p	20,21,22,23	4270.0	0.5192812361123843	2217.3308781998808	155	182.0	oligo_depletion
256	5p	20,21,22,23	4270.0	1.8174901578261111	7760.682973917495	156	835.0	oligo_depletion
257	5p	20,21,22,23	4270.0	0.4801981208432577	2050.4459760007103	157	189.0	oligo_depletion
258	5p	20,21,22,23	4270.0	0.6152692454260406	2627.199677969193	158	231.0	oligo_depletion
259	5p	20,21,22,23	4270.0	2.1509485975925196	9184.55051172006	159	952.0	oligo_depletion
260	5p	20,21,22,23	4270.0	0.5854108905028121	2499.704502447008	160	236.0	oligo_depletion
261	5p	20,21,22,23	4270.0	0.5374841082991367	2295.057142437314	161	262.0	oligo_depletion
262	5p	20,21,22,23	4270.0	2.164373669501067	9241.875568769556	162	1119.0	oligo_depletion
263	5p	20,21,22,23	4270.0	0.4696687322224462	2005.4854865898453	163	243.0	oligo_depletion
264	5p	20,21,22,23	4270.0	0.47291932038739276	2019.3654980541671	164	231.0	oligo_depletion
265	5p	20,21,22,23	4270.0	1.8535158872594775	7914.512838597969	165	870.0	oligo_depletion
266	5p	20,21,22,23	4270.0	0.6765496882476111	2888.8671688172994	166	233.0	oligo_depletion
267	5p	20,21,22,23	4270.0	0.6505480622650797	2777.84022587189	167	221.0	oligo_depletion
268	5p	20,21,22,23	4270.0	2.0781449302951387	8873.678852360243	168	890.0	oligo_depletion
269	5p	20,21,22,23	4270.0	0.45732550439782915	1952.7799037787304	169	218.0	oligo_depletion
270	5p	20,21,22,23	4270.0	0.4698458937420313	2006.2419662784737	170	232.0	oligo_depletion
271	5p	20,21,22,23	4270.0	1.8460307255159099	7882.551197952935	171	901.0	oligo_depletion
272	5p	20,21,22,23	4270.0	0.47512467683464615	2028.782370083939	172	205.0	oligo_depletion
273	5p	20,21,22,23	4270.0	0.4922541961091293	2101.925417385982	173	241.0	oligo_depletion
274	5p	20,21,22,23	4270.0	1.7801596677869456	7601.281781450258	174	840.0	oligo_depletion
275	5p	20,21,22,23	4270.0	0.7944544200868554	3392.3203737708727	175	240.0	oligo_depletion
276	5p	20,21,22,23	4270.0	0.4914198518919633	2098.3627675786834	176	199.0	oligo_depletion
277	5p	20,21,22,23	4270.0	1.9736534186115768	8427.500097471433	177	777.0	oligo_depletion
278	5p	20,21,22,23	4270.0	0.48272241475771605	2061.2247110154476	178	199.0	oligo_depletion
279	5p	20,21,22,23	4270.0	0.4971629675604033	2122.885871482922	179	235.0	oligo_depletion
280	5p	20,21,22,23	4270.0	1.8342161019976564	7832.1027555299925	180	859.0	oligo_depletion
281	5p	20,21,22,23	4270.0	0.5247717532492976	2240.7753863745006	181	197.0	oligo_depletion
282	5p	20,21,22,23	4270.0	0.5763618192951909	2461.0649683904653	182	204.0	oligo_depletion
283	5p	20,21,22,23	4270.0	2.232029629257662	9530.766516930216	183	788.0	oligo_depletion
284	5p	20,21,22,23	4270.0	0.5978701108587317	2552.9053733667843	184	204.0	oligo_depletion
285	5p	20,21,22,23	4270.0	0.6117139929319779	2612.0187498195455	185	181.0	oligo_depletion
286	5p	20,21,22,23	4270.0	2.275525964440929	9716.495868162767	186	808.0	oligo_depletion
287	5p	20,21,22,23	4270.0	0.4172428778978558	1781.6270886238442	187	193.0	oligo_depletion
288	5p	20,21,22,23	4270.0	0.687103213577225	2933.930721974751	188	207.0	oligo_depletion
289	5p	20,21,22,23	4270.0	2.0854933919930723	8905.056783810418	189	843.0	oligo_depletion
290	5p	20,21,22,23	4270.0	0.5576635366422493	2381.223301462405	190	202.0	oligo_depletion
291	5p	20,21,22,23	4270.0	0.7258344507904831	3099.313104875363	191	294.0	oligo_depletion
292	5p	20,21,22,23	4270.0	2.076686818670099	8867.452715721322	192	1014.0	oligo_depletion
293	5p	20,21,22,23	4270.0	0.5076283620611832	2167.573106001252	193	221.0	oligo_depletion
294	5p	20,21,22,23	4270.0	0.47656715067661015	2034.9417333891254	194	238.0	oligo_depletion
295	5p	20,21,22,23	4270.0	1.8796660177281785	8026.173895699322	195	995.0	oligo_depletion
296	5p	20,21,22,23	4270.0	0.4757692096207394	2031.5345250805572	196	223.0	oligo_depletion
297	5p	20,21,22,23	4270.0	0.573115781937816	2447.2043888744743	197	244.0	oligo_depletion
298	5p	20,21,22,23	4270.0	1.7549547322777257	7493.656706825888	198	814.0	oligo_depletion
299	5p	20,21,22,23	4270.0	0.47081650668156944	2010.3864835303016	199	202.0	oligo_depletion
300	5p	20,21,22,23	4270.0	0.4639853052698415	1981.2172535022232	200	214.0	oligo_depletion
0	3p	20,21,22,23	3147.0	0.3854134649583953	1212.89617422407	-100	63.0	oligo_depletion
1	3p	20,21,22,23	3162.0	0.7630714375375298	2412.8318854936692	-99	91.0	oligo_depletion
2	3p	20,21,22,23	3176.75	0.6000417226152935	1906.1825423181338	-98	88.0	oligo_depletion
3	3p	20,21,22,23	3188.5	0.5095174717751728	1624.5964587551387	-97	75.0	oligo_depletion
