tx_id	gene_name	undepleted	oligo_depletion
ENST00000526355.6	GUCY1A2	3	18
ENST00000310958.10	CCPG1	23	134
ENST00000296059.6	TM4SF18	0	0
ENST00000238789.9	ATAD2B	14	116
ENST00000253458.11	GSE1	25	167
ENST00000258538.7	SLC41A2	7	42
ENST00000614790.4	CWC25	19	116
ENST00000379715.9	EEF1E1	73	483
ENST00000379374.4	PHEX	0	2
ENST00000297316.4	SOX17	0	0
ENST00000302005.2	HSPB3	0	0
ENST00000300738.9	RRM1	273	1938
ENST00000361272.8	CNOT7	39	190
ENST00000436040.6	APTX	32	175
ENST00000356173.7	SUN5	0	0
ENST00000377075.2	CNNM4	13	93
ENST00000201586.6	SULT2B1	1	17
ENST00000538603.5	FAM90A1	0	0
ENST00000256452.7	IL5RA	0	0
ENST00000253719.6	NAPSA	0	0
ENST00000210313.7	PSMD5	6	52
ENST00000367425.8	CFHR3	1	0
ENST00000378526.8	LIG3	80	477
ENST00000640237.1	SCART1	0	1
ENST00000641449.1	OR4D1	0	0
ENST00000599531.1	PNMA8B	0	0
ENST00000280258.5	PRSS23	13	75
ENST00000287394.9	ATAD2	87	617
ENST00000308208.9	CCDC63	0	0
ENST00000282507.7	UGT3A2	5	34
ENST00000229195.7	CNOT2	38	302
ENST00000277531.8	PNPLA7	2	5
ENST00000322535.10	SF3B2	425	2571
ENST00000622872.4	BEAN1	0	0
ENST00000272452.6	SULT1C4	3	9
ENST00000467963.5	BRD9	19	145
ENST00000505820.6	MIB2	14	79
ENST00000367510.7	RNF2	52	394
ENST00000573600.5	CTDNEP1	22	145
ENST00000399429.7	COL28A1	0	0
ENST00000374103.8	OGDHL	18	110
ENST00000230792.6	NUDT12	21	170
ENST00000393229.3	NTNG2	0	2
ENST00000283916.10	TMPRSS11D	0	0
ENST00000381569.5	LZTS1	1	14
ENST00000376033.2	PRRC2A	304	1826
ENST00000332395.6	DDX28	40	273
ENST00000411809.6	CLINT1	175	1208
ENST00000366955.7	CENPF	178	1202
ENST00000271331.3	PROK1	0	2
ENST00000344577.6	LIPI	0	0
ENST00000609713.1	KCNJ6	0	0
ENST00000318329.6	KRTAP4-8	0	0
ENST00000335633.1	LCE3B	0	0
ENST00000421828.6	AL162231.1	2	29
ENST00000263360.10	EED	51	276
ENST00000295087.12	ARL5A	6	32
ENST00000316105.6	PCDHB9	0	0
ENST00000311177.6	HOXB9	28	220
ENST00000331968.9	PRKD1	13	91
ENST00000394955.2	GPT	0	0
ENST00000312184.5	TMEM70	60	311
ENST00000326499.10	VNN2	0	0
ENST00000346183.7	NFATC3	42	268
ENST00000339365.2	SEC24C	114	763
ENST00000287766.8	SLC6A1	0	0
ENST00000370518.3	SPANXA2	0	0
ENST00000376042.5	CCNB3	0	9
ENST00000457692.5	SERPINB2	0	0
ENST00000574154.5	GGT6	0	0
ENST00000299977.8	SLFN5	1	10
ENST00000415673.6	SP140L	0	1
ENST00000265029.7	FETUB	0	0
ENST00000330899.4	DNAJA1	482	3160
ENST00000369155.3	HIST2H2BE	1513	10188
ENST00000406875.7	HIPK2	20	156
ENST00000228705.6	PPM1H	9	52
ENST00000394186.3	ATP5J2	183	1142
ENST00000608263.5	CTCFL	0	0
ENST00000616101.4	TBC1D3D	0	0
ENST00000367012.3	SERTAD4	3	36
ENST00000278772.8	ZNF343	5	37
ENST00000347635.8	NUP50	108	669
ENST00000377294.2	ZKSCAN4	8	51
ENST00000209668.2	ADH1A	0	0
ENST00000588790.5	CCDC159	1	7
ENST00000561311.5	TLN2	9	73
ENST00000378466.7	PANK4	45	299
ENST00000331898.11	OPCML	0	0
ENST00000534961.5	RNF170	6	21
ENST00000371930.4	ANKRD22	0	0
ENST00000280551.10	SEC24D	39	258
ENST00000255266.9	PDE6A	0	0
ENST00000335385.3	TBX10	1	2
ENST00000261588.8	KIAA0556	11	62
ENST00000272641.3	NXPH2	1	4
ENST00000375344.7	MFSD14B	22	128
ENST00000334746.9	BTBD7	14	92
ENST00000370493.3	SPANXN1	0	0
ENST00000393674.6	FBXO8	6	33
ENST00000427836.7	PLEKHM3	10	53
ENST00000460006.5	CDS2	22	116
ENST00000614654.1	C19orf68	4	31
ENST00000372718.7	SMAP2	34	241
ENST00000278060.9	PAOX	5	22
ENST00000486442.5	KLHL29	8	31
ENST00000282903.9	PLOD2	45	269
ENST00000391440.2	RTL8B	43	247
ENST00000328248.6	ODF4	0	0
ENST00000333254.3	CCDC172	0	0
ENST00000354336.7	CRKL	92	612
ENST00000354161.7	SLC12A9	21	131
ENST00000297532.10	FASTK	15	93
ENST00000376314.2	DEFB121	0	0
ENST00000319340.6	CHST13	1	5
ENST00000505658.5	LUC7L3	168	1018
ENST00000456145.2	C11orf21	0	0
ENST00000338825.4	EIF4EBP1	200	1497
ENST00000270077.7	PSG9	0	0
ENST00000434739.3	GOLGA6D	0	0
ENST00000368194.7	ARHGEF11	18	128
ENST00000395743.7	BTC	0	0
ENST00000438075.6	LST1	0	0
ENST00000252934.9	ATXN10	235	1383
ENST00000272542.7	SLC20A1	93	571
ENST00000337827.8	GALNT16	9	39
ENST00000283256.10	SCN2A	0	3
ENST00000331336.2	KRBA2	0	2
ENST00000361727.7	CNTNAP2	19	82
ENST00000381951.1	OR1A2	0	0
ENST00000354308.7	SYT5	1	2
ENST00000369221.2	PNLIP	0	0
ENST00000218340.3	RP2	25	148
ENST00000354567.6	AK5	6	24
ENST00000444469.3	TMEM238	0	0
ENST00000266732.8	TMPO	256	1608
ENST00000328771.8	DHX34	85	575
ENST00000335390.5	TMEM17	1	9
ENST00000294954.11	LHCGR	0	1
ENST00000428311.1	AC008758.1	1	13
ENST00000326735.12	ATP13A2	21	170
ENST00000405141.5	NCOA1	26	132
ENST00000425642.2	ATP6V0E2	18	113
ENST00000307227.9	SUCLG2	70	386
ENST00000263121.11	SMARCB1	261	1624
ENST00000374372.1	GDF5	0	1
ENST00000230381.6	PRPH2	0	0
ENST00000616645.4	HSH2D	1	3
ENST00000339582.6	GRM8	1	1
ENST00000335605.1	OR5D14	0	0
ENST00000374851.1	TMEM246	9	87
ENST00000551964.5	APAF1	31	129
ENST00000477616.1	KCNC3	5	48
ENST00000227155.8	CD82	7	25
ENST00000402868.7	KMT5A	48	282
ENST00000247879.2	TAS2R3	0	0
ENST00000375011.3	GALNT12	6	48
ENST00000292823.6	PCYT1A	56	308
ENST00000372199.5	DYDC2	0	0
ENST00000304414.11	ARL6IP1	98	636
ENST00000510979.5	GTF2H2C	75	488
ENST00000264161.8	DARS	226	1334
ENST00000005756.4	UPP2	0	0
ENST00000290524.8	RFX5	28	130
ENST00000354775.4	ALDH9A1	165	1123
ENST00000231498.7	NUP155	214	1381
ENST00000312431.10	DST	11	65
ENST00000477892.5	FAM162A	73	517
ENST00000243673.6	GPR83	0	0
ENST00000351223.7	NASP	352	2133
ENST00000474524.5	MED12L	9	42
ENST00000261461.6	PPP2R5A	8	85
ENST00000370598.5	ADGRB3	1	22
ENST00000327492.3	TOB2	39	247
ENST00000262365.8	FAM86B2	2	26
ENST00000306324.3	HOXD4	0	0
ENST00000370002.7	PITX3	1	6
ENST00000274710.3	PSD2	0	1
ENST00000311755.3	HIGD2B	0	0
ENST00000375790.9	MKX	0	21
ENST00000211287.8	MAPK13	2	12
ENST00000373313.2	MAFB	36	140
ENST00000616288.4	PPP4R3B	32	216
ENST00000261475.9	PPP2R3C	14	111
ENST00000316423.10	UGDH	32	300
ENST00000376509.4	PIM2	28	177
ENST00000447869.5	STK33	10	29
ENST00000381661.3	ATP6V1C2	2	8
ENST00000641528.1	OR52K1	0	0
ENST00000360534.7	DPP4	0	6
ENST00000263274.11	LIG1	70	408
ENST00000389231.9	USP5	124	897
ENST00000236273.8	SYF2	50	263
ENST00000230671.6	SLC6A7	0	0
ENST00000296145.5	TDGF1	0	0
ENST00000512921.4	AC104662.2	11	69
ENST00000298048.6	MELK	49	362
ENST00000556147.5	NDRG2	15	165
ENST00000322066.3	DEFB114	0	0
ENST00000354666.3	ELOVL2	10	67
ENST00000344293.5	TAF3	23	146
ENST00000478136.5	FAM19A1	0	0
ENST00000356134.9	ANO2	0	0
ENST00000502346.1	TMEM167A	12	84
ENST00000351677.6	PTPN11	95	519
ENST00000175506.8	ASNS	528	3694
ENST00000525634.5	RPS13	1109	7140
ENST00000355192.7	MSRB3	6	46
ENST00000377022.7	CASZ1	4	25
ENST00000216446.8	PLEK2	0	0
ENST00000637128.1	LINC00959	0	0
ENST00000358007.7	DDX47	103	807
ENST00000639401.1	AC131160.1	22	137
ENST00000334933.8	PPIP5K1	13	88
ENST00000216338.8	GZMH	0	0
ENST00000309951.7	ACO1	79	476
ENST00000521476.5	RPL26L1	145	984
ENST00000326402.8	SLC36A4	6	62
ENST00000389583.4	TMEM72	0	0
ENST00000277874.10	HTR7	1	2
ENST00000311956.8	ARHGAP1	28	309
ENST00000372766.3	TMCO2	0	0
ENST00000615868.1	HIST1H2AB	349	2218
ENST00000551806.1	AL021546.1	104	739
ENST00000530447.4	USP17L7	0	0
ENST00000357552.7	SYCP2	0	1
ENST00000433931.6	SYNJ1	7	117
ENST00000539517.6	NOVA1	5	49
ENST00000236980.10	FASTKD2	55	386
ENST00000396625.3	COL4A4	0	7
ENST00000294753.8	ZNF496	6	67
ENST00000392133.7	XRCC5	642	4276
ENST00000367696.6	RC3H1	17	113
ENST00000397154.7	NGDN	64	464
ENST00000277895.9	ABLIM1	14	109
ENST00000320634.7	FAIM2	0	0
ENST00000319760.8	OR4A5	0	0
ENST00000322357.8	ZBTB7A	24	112
ENST00000361314.4	GPX7	0	0
ENST00000234313.7	PLEK	0	1
ENST00000261263.4	RAB21	53	336
ENST00000302536.2	VAT1L	0	2
ENST00000578794.1	AC015813.2	0	0
ENST00000400365.3	KRTAP10-12	0	0
ENST00000530839.5	MS4A6A	0	0
ENST00000641512.1	OR4K15	0	0
ENST00000380394.8	RPS6	2318	14377
ENST00000366711.3	IBA57	44	279
ENST00000280155.3	ADRA2A	0	0
ENST00000374037.7	SPDEF	0	1
ENST00000291744.10	FCN2	0	0
ENST00000301905.8	PBK	43	327
ENST00000396094.6	ODAM	0	1
ENST00000382659.6	RBMY1E	0	0
ENST00000329627.11	PEX26	16	133
ENST00000317965.3	OR2M7	0	0
ENST00000001008.5	FKBP4	452	2813
ENST00000320394.10	IQCK	6	28
ENST00000453321.7	TMEM67	2	41
ENST00000296422.11	SLC9B1	1	0
ENST00000279873.11	ARID5B	7	65
ENST00000641429.1	OR4K1	0	0
ENST00000261789.8	TM9SF1	14	115
ENST00000344327.7	TRPC6	0	0
ENST00000425407.6	SUN1	31	218
ENST00000380876.4	EIF3CL	657	4329
ENST00000321169.9	HACL1	53	332
ENST00000268261.8	PMM2	35	217
ENST00000376753.8	FBXO6	5	11
ENST00000615164.2	HIST1H4E	686	4112
ENST00000489711.5	SLC15A2	0	0
ENST00000326233.6	LCE1D	0	0
ENST00000585124.5	AURKB	165	1125
ENST00000249887.2	ACKR4	0	0
ENST00000343949.9	ZNF763	0	4
ENST00000381707.6	NUTM2A	0	0
ENST00000641156.1	OR56A4	0	0
ENST00000229955.3	GPR63	4	15
ENST00000276211.9	ARHGAP36	1	5
ENST00000338074.6	EPB41L1	1	27
ENST00000299308.7	TMEM132B	1	3
ENST00000357681.9	ATP2B4	20	158
ENST00000303130.3	TMEM133	0	0
ENST00000273783.7	EIF2B5	59	342
ENST00000223357.7	AEBP1	0	0
ENST00000251413.7	TUBG1	150	866
ENST00000335725.8	TDP1	24	180
ENST00000222990.7	SNX8	19	104
ENST00000437464.1	ZNF469	0	2
ENST00000299140.7	SPATA19	0	1
ENST00000577660.1	AC099850.2	3	13
ENST00000515425.5	SH3TC2	0	0
ENST00000298352.4	NGB	0	0
ENST00000299320.9	C16orf71	0	4
ENST00000327031.8	FLII	94	665
ENST00000453097.6	SLC4A8	0	8
ENST00000404141.5	PAXIP1	42	233
ENST00000326053.9	C11orf16	0	0
ENST00000396573.6	GRIN2A	0	1
ENST00000342494.7	UBE3B	23	130
ENST00000261530.11	GPATCH2L	28	182
ENST00000429149.6	IL34	1	0
ENST00000341459.7	SLC24A5	0	0
ENST00000367698.3	SERPINC1	0	0
ENST00000372524.4	ZNF503	344	1959
ENST00000340473.7	GTF2F2	40	231
ENST00000358227.4	DMAC1	75	416
ENST00000190611.8	OSBPL6	33	202
ENST00000379600.7	NHLRC3	3	25
ENST00000399503.3	MAP3K1	27	171
ENST00000446113.6	ZDHHC13	8	75
ENST00000599996.1	AC011455.3	12	77
ENST00000518659.5	TENM2	1	0
ENST00000377648.4	PHF13	22	128
ENST00000295400.10	TGFA	0	1
ENST00000265272.9	JAKMIP2	5	31
ENST00000321252.2	OR6T1	0	0
ENST00000550948.1	SELPLG	0	2
ENST00000379984.3	RS1	0	0
ENST00000307564.8	AKNA	2	8
ENST00000265012.4	GCNT2	0	0
ENST00000394607.7	ELOVL6	27	108
ENST00000358415.8	ITIH2	0	0
ENST00000263923.4	KDR	1	1
ENST00000357991.7	ADGRG2	0	11
ENST00000374521.3	AWAT1	0	0
ENST00000308394.8	CASP3	21	165
ENST00000334574.12	FSD2	0	1
ENST00000547889.5	POTEM	0	0
ENST00000369839.3	TAF5	35	210
ENST00000382365.6	DAZ3	0	0
ENST00000238892.3	CRIPT	20	118
ENST00000318006.9	VPS39	34	178
ENST00000404795.3	DMRTA2	1	8
ENST00000301729.8	ECI1	176	1038
ENST00000374142.8	ZDHHC18	10	76
ENST00000405093.7	MYH6	0	0
ENST00000638280.1	LEUTX	0	0
ENST00000298622.8	JAKMIP3	0	0
ENST00000375147.7	NCBP1	124	877
ENST00000343933.9	CORO2A	4	27
ENST00000423387.3	MPC1L	0	0
ENST00000615421.4	NBPF9	4	24
ENST00000374280.3	EXTL1	0	0
ENST00000373839.7	PHACTR4	22	170
ENST00000614342.1	SALL2	32	267
ENST00000356742.9	HVCN1	0	2
ENST00000283147.6	BMP6	4	22
ENST00000284727.8	ATP5G3	459	3386
ENST00000505956.5	EFCAB12	0	0
ENST00000310074.7	TADA2B	14	80
ENST00000337195.9	CTBP2	70	464
ENST00000254846.9	KDM6B	8	70
ENST00000389805.8	SQSTM1	158	1022
ENST00000465148.2	CCNJ	13	97
ENST00000359299.7	ANXA10	0	2
ENST00000394900.7	TKFC	43	276
ENST00000538255.5	CTSV	23	183
ENST00000600659.2	RPS28	937	6292
ENST00000451794.5	NEURL3	0	0
ENST00000620120.2	PANO1	0	1
ENST00000359842.9	RXRG	1	8
ENST00000256857.6	GRP	0	1
ENST00000335464.9	TMEM104	21	130
ENST00000334493.10	WDR86	0	0
ENST00000418063.2	ZNF90	0	1
ENST00000331351.5	HS3ST4	0	0
ENST00000361441.4	APOBEC3C	30	226
ENST00000342679.8	MAP2K3	30	212
ENST00000424120.5	CC2D2A	14	87
ENST00000306507.6	FOXD4L1	0	0
ENST00000434937.2	RFPL4A	0	0
ENST00000290607.11	STARD9	3	17
ENST00000442487.7	APOBEC3H	0	2
ENST00000342695.8	ATP13A4	0	0
ENST00000614049.4	ZNF229	0	3
ENST00000216039.9	JOSD1	15	53
ENST00000399989.5	MAGEB16	0	0
ENST00000356657.10	FDPS	281	1818
ENST00000291358.10	IQCC	7	31
ENST00000361209.6	ASTN2	5	15
ENST00000356387.6	ORAI2	2	20
ENST00000435817.6	FCHSD1	6	23
ENST00000288078.10	FUK	5	69
ENST00000403528.6	HCRTR1	0	0
ENST00000399583.3	RADIL	20	91
ENST00000430850.6	AC037459.1	5	27
ENST00000522684.5	PTK2	38	265
ENST00000339284.6	SH2D4B	0	0
ENST00000327835.7	ZNF704	4	28
ENST00000302592.7	OR1S2	0	0
ENST00000368010.3	PFDN2	141	924
ENST00000437525.2	KCNK16	0	0
ENST00000338206.5	UGT2B15	0	0
ENST00000397910.8	MUC16	0	1
ENST00000609451.5	EBF4	0	6
ENST00000366922.2	IARS2	112	736
ENST00000569795.5	PARP6	4	18
ENST00000343216.3	RTP5	0	0
ENST00000611002.4	ZNF155	0	13
ENST00000442744.6	UBA52	791	5086
ENST00000335870.6	ZNF212	20	115
ENST00000392017.8	ATG16L1	17	120
ENST00000591340.5	ZNF529	3	36
ENST00000482457.3	ZNF80	0	0
ENST00000380299.3	HBD	0	0
ENST00000376447.3	RASEF	18	137
ENST00000350513.2	OR9A2	0	0
ENST00000295802.8	RETSAT	21	129
ENST00000579469.1	SMIM6	0	0
ENST00000230658.11	ISL1	27	122
ENST00000427401.8	ZNF737	1	3
ENST00000620688.2	ELOA3C	0	0
ENST00000267163.4	RB1	38	330
ENST00000358647.4	GIMAP5	0	0
ENST00000415913.5	IDH1	67	462
ENST00000223864.6	PLGRKT	14	108
ENST00000394609.6	RTN4	77	454
ENST00000380985.9	NLN	44	339
ENST00000370310.4	FAM69A	4	31
ENST00000313285.12	TRIP10	16	131
ENST00000426628.6	FAM86C1	7	33
ENST00000382751.3	URB1	52	406
ENST00000285928.2	LRGUK	3	6
ENST00000327681.10	USP45	9	67
ENST00000361189.6	PJA2	80	476
ENST00000220616.8	TG	0	2
ENST00000348624.4	AP5Z1	29	128
ENST00000360565.7	SCAF1	118	764
ENST00000236877.10	SLC8A2	0	3
ENST00000448048.6	AGAP4	1	7
ENST00000335791.9	ST6GALNAC4	7	27
ENST00000517608.5	UBE2W	12	66
ENST00000295878.7	CCDC191	1	7
ENST00000352909.7	TH	0	0
ENST00000335524.7	PRR30	0	0
ENST00000360314.7	CASS4	0	0
ENST00000289921.7	FAM160B2	8	63
ENST00000397928.5	TRPM2	0	1
ENST00000283025.6	TEKT5	0	0
ENST00000483466.5	MAGI1	6	47
ENST00000258455.7	MRPS9	65	470
ENST00000334304.9	ADGRA3	22	85
ENST00000335727.13	TNRC6B	37	251
ENST00000532798.2	CCDC179	0	0
ENST00000634910.1	HIST1H2BE	263	1652
ENST00000374612.5	HNRNPR	430	2602
ENST00000310447.9	CASP2	92	616
ENST00000345728.9	FERMT3	0	0
ENST00000358869.4	FAM114A1	3	25
ENST00000428443.7	SESTD1	14	95
ENST00000334418.5	CCDC84	3	26
ENST00000371360.1	LDLRAD1	0	0
ENST00000258080.7	HTRA2	30	248
ENST00000300101.2	ZBTB39	21	100
ENST00000361392.8	ST3GAL3	0	2
ENST00000302312.8	AHSP	0	0
ENST00000381209.7	RPAIN	49	257
ENST00000225388.8	NUFIP2	97	613
ENST00000339223.4	FPR3	0	0
ENST00000330244.10	RPS17	1646	10306
ENST00000368232.8	GPATCH4	135	755
ENST00000360835.8	SCUBE1	2	20
ENST00000277216.3	OR13C4	0	0
ENST00000357529.7	RIMKLB	24	83
ENST00000374810.7	TP53INP2	2	10
ENST00000303868.5	WDR87	0	0
ENST00000216479.7	AHSA1	257	1458
ENST00000445922.2	BAG5	23	153
ENST00000489418.5	SLBP	104	659
ENST00000216445.7	C14orf105	0	0
ENST00000409418.8	FCHSD2	17	82
ENST00000339746.8	ANKRD6	2	14
ENST00000261837.11	GNB5	18	83
ENST00000396602.6	ZNF143	20	164
ENST00000287820.10	PPARG	8	36
ENST00000621083.4	ZNF227	6	29
ENST00000306730.7	AVEN	12	87
ENST00000285379.9	CA2	64	427
ENST00000392176.3	FAM106A	0	0
ENST00000397133.2	EMC6	35	215
ENST00000328306.4	SLC9A7	8	39
ENST00000529983.2	GALNT4	0	20
ENST00000337109.8	MRPL35	50	243
ENST00000075120.11	SLC2A3	0	7
ENST00000303225.10	FUT3	0	0
ENST00000545121.5	CEPT1	44	395
ENST00000322444.6	KCTD2	22	90
ENST00000288207.6	CCNB2	76	533
ENST00000340465.2	GFRAL	0	0
ENST00000309328.7	SSSCA1	64	427
ENST00000373758.4	REEP3	8	54
ENST00000372444.6	TJAP1	36	194
ENST00000287916.8	CLDN12	18	148
ENST00000370626.3	AVPI1	8	55
ENST00000538487.6	GRM4	1	1
ENST00000380737.7	PPP2R2A	101	546
ENST00000577830.5	CUEDC1	5	39
ENST00000331222.5	CLN8	6	46
ENST00000280886.11	DIP2C	12	71
ENST00000641802.1	OR2C3	0	0
ENST00000291576.11	PWP2	57	335
ENST00000361883.5	KRTAP1-5	0	0
ENST00000382120.3	SOD3	0	0
ENST00000339394.6	SDC3	16	73
ENST00000357742.8	MCTP2	0	0
ENST00000331483.8	P4HB	292	1621
ENST00000394718.4	AKAP5	2	10
ENST00000639028.1	GAGE12F	0	2
ENST00000280904.10	DSC2	23	162
ENST00000641670.1	OR8A1	0	0
ENST00000334849.2	KRTAP19-7	0	0
ENST00000424898.2	PDZD9	0	0
ENST00000298472.9	SLC18A2	0	0
ENST00000597961.1	AC010422.5	23	144
ENST00000525748.5	SLC6A5	0	0
ENST00000216254.8	ACO2	123	826
ENST00000375363.7	G6PC2	0	0
ENST00000281030.2	THRSP	0	0
ENST00000259392.7	SLC31A2	1	20
ENST00000301891.8	SLC22A11	0	1
ENST00000408945.4	HMSD	0	0
ENST00000254759.7	COQ3	47	234
ENST00000519449.5	RNF19A	11	74
ENST00000371316.3	ACOT11	0	5
ENST00000340291.6	SPAG8	0	2
ENST00000359486.7	TCF20	35	284
ENST00000636216.1	AC092442.1	0	0
ENST00000291672.5	SPATC1L	36	148
ENST00000319555.7	ZFPM1	2	36
ENST00000614443.1	PIGW	16	68
ENST00000404377.3	TNFSF18	0	0
ENST00000314358.9	KDM3B	126	737
ENST00000245479.2	SOX9	18	102
ENST00000216274.9	RIPK3	0	0
ENST00000378486.7	PLCH2	1	1
ENST00000429709.6	ACTL6A	157	929
ENST00000302118.5	PCSK9	0	0
ENST00000298545.3	AK8	5	27
ENST00000372201.4	PLK3	4	11
ENST00000609883.1	RTL5	5	25
ENST00000620284.4	RDM1	13	74
ENST00000314265.2	DEFB104A	0	0
ENST00000398532.8	MSL1	12	98
ENST00000266383.9	B4GALNT3	7	36
ENST00000377067.8	GPC5	4	36
ENST00000262316.10	RHBDF1	3	19
ENST00000393700.7	RENBP	4	40
ENST00000374975.3	HLA-DRB5	8	9
ENST00000439986.8	CCBE1	2	7
ENST00000239450.4	PCDHB12	0	2
ENST00000272937.9	HES6	7	43
ENST00000334680.3	KRTAP22-1	0	0
ENST00000438998.6	PSMG4	22	113
ENST00000272427.10	EXOC6B	38	173
ENST00000239440.8	ARAP3	1	13
ENST00000394620.1	CCL8	0	0
ENST00000260762.10	EXOC6	33	153
ENST00000273179.9	CTDSPL	8	32
ENST00000218104.5	ABCD1	96	620
ENST00000604577.1	AC008687.1	0	0
ENST00000320704.3	OR6S1	0	0
ENST00000635736.1	GRAMD1B	5	24
ENST00000265299.6	MINDY4	8	47
ENST00000298875.8	CPSF2	124	739
ENST00000391618.1	KRTAP12-4	0	0
ENST00000598361.4	AC005154.6	5	45
ENST00000612813.4	IFI27	1	2
ENST00000399151.3	DOPEY2	9	62
ENST00000221515.5	RETN	0	0
ENST00000380205.1	IFNA8	0	0
ENST00000279027.8	SLC13A3	5	33
ENST00000346964.6	DLG1	44	262
ENST00000245817.4	TNFSF9	1	28
ENST00000254900.9	BRD8	50	329
ENST00000371084.7	PGM1	76	471
ENST00000606888.2	ANKRD34A	0	14
ENST00000329905.5	CALHM1	0	0
ENST00000280758.9	BTBD11	6	74
ENST00000267843.8	FGF7	0	2
ENST00000464845.5	NAA10	239	1373
ENST00000238875.9	LGALSL	16	96
ENST00000237822.7	LDAH	10	65
ENST00000326291.10	PIBF1	34	200
ENST00000300456.4	SLC27A4	45	290
ENST00000242465.3	SRGN	0	0
ENST00000314673.7	SNX14	24	118
ENST00000296543.9	NAA15	220	1376
ENST00000328051.2	SPRR4	0	0
ENST00000270593.1	ACP4	0	0
ENST00000319653.13	FMN2	9	83
ENST00000262144.10	WDR59	38	214
ENST00000637179.1	TTC34	0	0
ENST00000602312.2	SDR42E2	0	0
ENST00000316470.8	ABHD1	0	2
ENST00000278407.8	SERPING1	2	14
ENST00000376659.9	TRIM39	6	15
ENST00000394166.7	NR2F2	49	358
ENST00000277746.10	NRBF2	18	110
ENST00000260803.8	DBR1	36	263
ENST00000418929.6	PRR12	43	222
ENST00000231749.7	ZMYND10	0	1
ENST00000270583.9	KLHDC4	36	214
ENST00000401815.1	GP5	0	0
ENST00000296121.5	KIAA1143	25	182
ENST00000455584.2	AC005324.3	0	11
ENST00000597436.5	CCDC124	138	801
ENST00000229238.4	MRPL51	124	780
ENST00000334664.3	KRTAP20-1	0	0
ENST00000458694.5	PRICKLE4	0	9
ENST00000398016.7	GRIP1	4	33
ENST00000304030.2	ZNF439	0	3
ENST00000433881.5	PPP1R9A	1	4
ENST00000255977.6	MKRN1	49	333
ENST00000380224.2	OR51B4	0	0
ENST00000285116.7	SKA1	11	79
ENST00000601048.5	SELENOW	8	62
ENST00000439128.6	NEK1	20	129
ENST00000579436.6	RASSF5	2	19
ENST00000240185.7	TARDBP	224	1329
ENST00000295728.6	CRYBA2	0	0
ENST00000303230.5	HCN1	0	1
ENST00000550389.5	FRS2	5	29
ENST00000263174.8	PALMD	0	4
ENST00000380191.8	GDI2	282	1992
ENST00000297581.2	DCSTAMP	0	0
ENST00000295589.3	CCKAR	0	0
ENST00000306315.9	ZNF608	10	61
ENST00000248071.5	KLF2	3	7
ENST00000373731.6	KCTD20	47	316
ENST00000377142.4	NKX2-2	2	10
ENST00000366898.5	PRKN	0	13
ENST00000316048.2	SMCO3	0	0
ENST00000292591.11	MGAT4B	12	113
ENST00000318351.1	HTR3C	0	0
ENST00000372391.6	DLG5	20	147
ENST00000358232.10	ELP2	165	1052
ENST00000378485.1	CLLU1	0	0
ENST00000337743.8	TASP1	10	35
ENST00000222462.2	WNT16	0	0
ENST00000408888.7	RBM34	70	477
ENST00000540385.2	AL358075.4	12	76
ENST00000222381.7	PON1	1	0
ENST00000258415.8	CYP27A1	1	3
ENST00000400382.5	GGT1	1	8
ENST00000395842.2	PANX2	1	3
ENST00000393883.6	ZNF559	9	29
ENST00000370828.3	GPC4	39	234
ENST00000259915.12	POU5F1	0	0
ENST00000173229.6	NTN1	12	84
ENST00000237653.11	ADH6	0	0
ENST00000318407.4	BOK	1	1
ENST00000260045.7	THAP12	18	131
ENST00000311151.9	DPYSL2	55	301
ENST00000264344.9	FAM13A	12	105
ENST00000371204.3	CYP2J2	4	22
ENST00000259569.5	RANBP6	33	220
ENST00000641841.1	OR2A7	0	0
ENST00000338694.6	TEKT1	0	0
ENST00000361840.7	SPRYD7	11	114
ENST00000276072.7	TAF1	31	177
ENST00000319397.6	ETS1	8	55
ENST00000335568.9	UGT2B28	0	0
ENST00000306117.5	KCNS1	0	1
ENST00000222693.4	CAV2	8	32
ENST00000355485.6	VANGL1	27	126
ENST00000340487.4	ZSCAN16	0	16
ENST00000341170.4	TSTD2	15	82
ENST00000617429.4	ZNHIT3	34	256
ENST00000300589.6	NOD2	0	0
ENST00000426406.3	OR4F29	0	0
ENST00000376705.3	HS6ST3	0	6
ENST00000554015.5	ZBTB1	15	108
ENST00000260130.8	SDCBP	113	642
ENST00000323703.10	ZNF513	3	21
ENST00000367104.7	SERAC1	14	87
ENST00000362063.6	ZNF652	8	54
ENST00000421367.6	ERLIN1	24	113
ENST00000246337.8	UROD	107	843
ENST00000436784.6	GLYCTK	5	13
ENST00000389672.9	EPHA6	2	33
ENST00000357258.8	ZBTB20	0	2
ENST00000313582.5	NFKBIB	38	150
ENST00000221494.9	SF3A2	158	1045
ENST00000376819.3	ANGPTL7	0	0
ENST00000248933.10	SEZ6L	0	1
ENST00000302631.7	SCAMP3	122	728
ENST00000470691.2	CTAGE6	1	0
ENST00000289672.6	PKD1L1	1	0
ENST00000602452.2	MEI4	0	1
ENST00000362089.9	CD247	0	0
ENST00000620350.4	LRRC6	0	0
ENST00000507166.5	AC058822.1	12	100
ENST00000272421.10	ANKRD53	0	0
ENST00000289153.6	PIK3CB	5	81
